fold_key	exact_spellings	semantic_status	taxonomy_status	reviewed_destination	import_status	final_master_path	batch_id
right little finger 2 grip 1	Right little finger 2 grip 1	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	P111
r_thumb1a_00002	r_thumb1a_00002	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	P111
bh03.l	Bh03.L	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
53	53	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
bip_neckring	bip_neckRing	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	P111
tounge tip down	Tounge tip down	CLEAR	CLEAR	groupFile/Face/Tongue	IMPORTED	groupFile/Face/Tongue	P111
fa_nostril_left	fa_nostril_left	CLEAR	CLEAR	groupFile/Face/Mid Face	IMPORTED	groupFile/Face/Mid Face	P111
blink down	Blink Down	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	P111
crow_3.femur_l	Crow_3.Femur_L	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	P111
muscle-up	muscle-up	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P111
pants small thigs	Pants Small Thigs	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	P111
bobcut.side_left_2_1_jiggle	Bobcut.Side_Left_2_1_jiggle	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	P111
left_sneer	Left_sneer	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	P111
sidelockleft3	SideLockLeft3	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	P111
full nelson	Full Nelson	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P111
penis_f_2	penis_f_2	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P111
clip01	Clip01	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P111
bip01_spine3_002	Bip01_Spine3_002	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	P111
object031_004	Object031_004	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
wep_caplock	WEP_CapLock	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P111
right_stomach_buldge	Right_stomach_buldge	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P111
bip_tentacle.013	Bip_Tentacle.013	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P111
asshool_1	Asshool_1	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P111
polysurface14	polySurface14	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
fit jumpsuit	fit jumpsuit	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	P111
line01	Line01	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
key.down	Key.DOWN	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P111
key.white_30	Key.White_30	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P111
unusedheadneckupper	unusedheadneckupper	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	P111
elbow fix.l	Elbow fix.L	CLEAR	CLEAR	groupFile/Correctives	IMPORTED	groupFile/Correctives	P111
flm-armb-float-b1	Flm-ArmB-Float-B1	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P111
bip_l_ear0	bip_l_ear0	CLEAR	CLEAR	groupFile/Face/Ears	IMPORTED	groupFile/Face/Ears	P111
lowerblinkl+lowerblinkr	lowerBlinkL+lowerBlinkR	CLEAR	CLEAR	groupFile/Face/Eyes	ALREADY_PRESENT_SAME_PATH	groupFile/Face/Eyes	P111
rightsneer	RightSneer	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	P111
valvebiped.bip01_lowerhead	ValveBiped.Bip01_LowerHead	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	P111
backhair c00 joint	backhair c00 joint	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	P111
calves thicc	Calves Thicc	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P111
eyelipdownleft	EyeLipDownLeft	CLEAR	CLEAR	groupFile/Face/Upper Face	IMPORTED	groupFile/Face/Upper Face	P111
left ring finger 3	Left ring finger 3	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	P111
unusedright pupil fbu	unusedright pupil fbu	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	P111
loonafits	LoonaFITS	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	P111
ruby_head_b_jnt	Ruby_head_b_jnt	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	P111
asshole_3	Asshole_3	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P111
shell	Shell+shell	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P111
key.h	Key.H	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P111
bip_chest_2_r	bip_Chest_2_r	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	P111
lower 2 left	Lower 2 Left	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
wep_wick4	WEP_Wick4	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P111
v_weapon.left_pinky02	v_weapon.Left_Pinky02	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	P111
legmiddlefinger1_r	LegMiddleFinger1_R	CLEAR	CLEAR	groupFile/Toes/RightToes	IMPORTED	groupFile/Toes/RightToes	P111
bip01 neck1	Bip01 Neck1	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	P111
loweroutleft	LowerOutLeft	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
rarmex	RArmEX	CLEAR	CLEAR	groupFile/Arms/RightArm	IMPORTED	groupFile/Arms/RightArm	P111
teeth-wide	Teeth-Wide	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	P111
clawhandleft	ClawHandLeft	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P111
upeerlidraiserl+upeerlidraiserr	UpeerLidRaiserL+UpeerLidRaiserR	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	P111
bip_l_arm_02_roll	bip_l_arm_02_roll	CLEAR	CLEAR	groupFile/Arms/LeftArm	IMPORTED	groupFile/Arms/LeftArm	P111
car09	car09	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P111
bip01_l_thigh017	Bip01_L_Thigh017	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	P111
jewel	Jewel	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P111
valvebiped.bip01_l_finger2_twist_1	ValveBiped.Bip01_L_Finger2_Twist_1	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	P111
facial_bone_uprlip_r01	Facial_Bone_UprLip_R01	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	P111
arm right finger 3 b	arm right finger 3 b	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	P111
v_weapon.root27	v_weapon.Root27	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P111
bone.001_l.042	Bone.001_L.042	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
valvebiped.bip01_l_finger1_twist_1	ValveBiped.Bip01_L_Finger1_Twist_1	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	P111
bone060	Bone060	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
valvebiped.bip01_r_middle03	ValveBiped.Bip01_R_Middle03	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	P111
polysurface124	polySurface124	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
rightmetatarsus	RightMetatarsus	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	P111
mot03_leftfoot	MOT03_LeftFoot	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	P111
forearmright	ForearmRight	CLEAR	CLEAR	groupFile/Arms/RightArm	IMPORTED	groupFile/Arms/RightArm	P111
l index 03	l index 03	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	P111
rthumbnc	RThumbNc	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	P111
eyelashes-happy	Eyelashes-Happy	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	P111
anuopenwedgieexposedtorn	AnuOpenWedgieExposedTorn	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	P111
blowout	BlowOut	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P111
plane	Plane	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
opt_hand_left_middle1	OPT_Hand_Left_Middle1	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	P111
side_right_1	side_right_1	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
collar right 2	collar right 2	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	P111
pussyopensuitexposedtorn	PussyOpenSuitExposedTorn	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	P111
box_kg_empty	box_KG_empty	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P111
ripple01	Ripple01	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P111
bone084	Bone084	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P111
