exact_literal	ascii_fold_key	current_classification	final_master_path	human_review_disposition	original_proposed_path	review_row_id	sibling_family_count	scanner_source_lines	notes
B_Hair_Tail02_04	b_hair_tail02_04	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	5031	1	9, 9, 7, 3	
B_Hair_Tail02_05	b_hair_tail02_05	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	6881	1	9, 9, 7, 4	
B_Hair_Tail02_06	b_hair_tail02_06	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	3933	1	9, 9, 7, 5	
B_Hair_Tail03_01	b_hair_tail03_01	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	5630	1	9, 9, 7, 6	
B_Hair_Tail03_02	b_hair_tail03_02	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	7921	1	9, 9, 7, 7	
B_Hair_Tail03_03	b_hair_tail03_03	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	3971	1	9, 9, 7, 8	
B_Hair_Tail03_04	b_hair_tail03_04	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	4316	1	9, 9, 7, 9	
Back	back	M2	groupFile/RigHelpers	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/RigHelpers	14622	1	1, 5, 3, 3, ,,  , 9, 9, 8, 0	human proposed groupFile/Body Morphs vs existing groupFile/RigHelpers -- family NOT moved this phase
Back.Ribbon_Left_1	back.ribbon_left_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2624	1	1, 0, 0, 0, 0	
Back.Ribbon_Left_2	back.ribbon_left_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2728	1	1, 0, 0, 0, 1	
Back.Ribbon_Left_3	back.ribbon_left_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2669	1	1, 0, 0, 0, 2	
Back.Ribbon_Left_4	back.ribbon_left_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2609	1	1, 0, 0, 0, 3	
Back.Ribbon_Left_5	back.ribbon_left_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2762	1	1, 0, 0, 0, 4	
Back.Ribbon_Right_1	back.ribbon_right_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2817	1	1, 0, 0, 0, 5	
Back.Ribbon_Right_2	back.ribbon_right_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3005	1	1, 0, 0, 0, 6	
Back.Ribbon_Right_3	back.ribbon_right_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2915	1	1, 0, 0, 0, 7	
Back.Ribbon_Right_4	back.ribbon_right_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2992	1	1, 0, 0, 0, 8	
Back.Ribbon_Right_5	back.ribbon_right_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2771	1	1, 0, 0, 0, 9	
back_dress_left_0	back_dress_left_0	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2392	1	2, 0, 9, 8, 8	
back_dress_left_1	back_dress_left_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1855	1	2, 0, 9, 8, 9	
back_dress_left_2	back_dress_left_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1693	1	2, 0, 9, 9, 0	
back_dress_left_3	back_dress_left_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2219	1	2, 0, 9, 9, 1	
back_dress_left_4	back_dress_left_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2394	1	2, 0, 9, 9, 2	
back_dress_left_5	back_dress_left_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2410	1	2, 0, 9, 9, 3	
back_dress_mid_0	back_dress_mid_0	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1913	1	2, 0, 9, 9, 4	
back_dress_mid_1	back_dress_mid_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2051	1	2, 0, 9, 9, 5	
back_dress_mid_2	back_dress_mid_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1822	1	2, 0, 9, 9, 6	
back_dress_mid_3	back_dress_mid_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1862	1	2, 0, 9, 9, 7	
back_dress_mid_4	back_dress_mid_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2236	1	2, 0, 9, 9, 8	
back_dress_mid_5	back_dress_mid_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1880	1	2, 0, 9, 9, 9	
back_dress_right_0	back_dress_right_0	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2525	1	2, 1, 0, 0, 0	
back_dress_right_1	back_dress_right_1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1927	1	2, 1, 0, 0, 1	
back_dress_right_2	back_dress_right_2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2232	1	2, 1, 0, 0, 2	
back_dress_right_3	back_dress_right_3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2248	1	2, 1, 0, 0, 3	
back_dress_right_4	back_dress_right_4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1674	1	2, 1, 0, 0, 4	
back_dress_right_5	back_dress_right_5	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	2377	1	2, 1, 0, 0, 5	
BackPack	backpack	M2	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	13552	1	1, 0, 0, 1, 6	
Backskirt	backskirt	M2	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	15227	1	1, 0, 0, 3, 6	
BackSkirt.L1	backskirt.l1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	744	1	1, 0, 0, 1, 9	
BackSkirt.L2	backskirt.l2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	733	1	1, 0, 0, 2, 0	
BackSkirt.L3	backskirt.l3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1083	1	1, 0, 0, 2, 1	
BackSkirt.L4	backskirt.l4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1030	1	1, 0, 0, 2, 2	
BackSkirt.R1	backskirt.r1	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1157	1	1, 0, 0, 2, 3	
BackSkirt.R2	backskirt.r2	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1458	1	1, 0, 0, 2, 4	
BackSkirt.R3	backskirt.r3	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	621	1	1, 0, 0, 2, 5	
BackSkirt.R4	backskirt.r4	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	1092	1	1, 0, 0, 2, 6	
